Bank-leitzahl,Bezeichnung,Ort,BIC
20730036,UniCredit Bank - HVB Settlement EAC36,Hamburg,HYVEDEMME36
20730037,UniCredit Bank - HVB Settlement EAC37,Hamburg,HYVEDEMME37
20730038,UniCredit Bank - HVB Settlement EAC38,Hamburg,HYVEDEMME38
20730039,UniCredit Bank - HVB Settlement EAC39,Hamburg,HYVEDEMME39
20730040,UniCredit Bank - HVB Settlement EAC40,Hamburg,HYVEDEMME40
20750000,Sparkasse Harburg-Buxtehude,Hamburg,NOLADE21HAM
21000000,Bundesbank eh Kiel,Hamburg,MARKDEF1210
21010111,SEB,Kiel,ESSEDE5F210
21020600,Sydbank Filiale Kiel,Kiel,SYBKDE22KIE
21040010,Commerzbank,Kiel,COBADEFFXXX
21042076,Commerzbank,Eckernförde,COBADEFFXXX
21050000,HSH Nordbank Hamburg, Kiel,Hamburg,HSHNDEHHXXX
21050170,Förde Sparkasse,Kiel,NOLADE21KIE
21051275,Bordesholmer Sparkasse,Bordesholm,NOLADE21BOR
21051580,Sparkasse Kreis Plön -alt-,Plön,NOLADE21PLN
21052090,Sparkasse Eckernförde -alt-,Eckernförde,NOLADE21ECK
21060237,Evangelische Darlehnsgenossenschaft -alt-,Kiel,GENODEF1EDG
21070020,Deutsche Bank,Kiel,DEUTDEHH210
21070024,Deutsche Bank Privat und Geschäftskunden,Kiel,DEUTDEDB210
21080050,Commerzbank vormals Dresdner Bank,Kiel,DRESDEFF210
21089201,Commerzbank vormals Dresdner Bank ITGK,Kiel,DRESDEFFI07
21090007,Kieler Volksbank,Kiel,GENODEF1KIL
21090619,apoBank,Kiel,DAAEDED1019
21090900,PSD Bank Kiel,Kiel,GENODEF1P11
21092023,Eckernförder Bank Volksbank-Raiffeisenbank,Eckernförde,GENODEF1EFO
21210111,SEB,Neumünster,ESSEDE5F212
21240040,Commerzbank,Neumünster,COBADEFFXXX
21241540,Commerzbank,Bad Bramstedt,COBADEFFXXX
21261089,Raiffeisenbank -alt-,Wasbek,GENODEF1WAS
21261227,Raiffbk Kl-Kummerfeld -alt-,Groß Kummerfeld,GENODEF1BOO
21270020,Deutsche Bank,Neumünster,DEUTDEHH212
21270024,Deutsche Bank Privat und Geschäftskunden,Neumünster,DEUTDEDB212
21280002,Commerzbank vormals Dresdner Bank,Neumünster,DRESDEFF212
21290016,VR Bank Neumünster,Neumünster,GENODEF1NMS
21340010,Commerzbank,Neustadt in Holstein,COBADEFFXXX
21352240,Sparkasse Holstein,Eutin,NOLADE21HOL
21390008,VR Bank Ostholstein Nord-Plön,Neustadt in Holstein,GENODEF1NSH
21392218,Volksbank Eutin Raiffeisenbank,Eutin,GENODEF1EUT
21440045,Commerzbank,Rendsburg,COBADEFFXXX
21450000,Sparkasse Mittelholstein Rendsburg,Rendsburg,NOLADE21RDB
21451205,Sparkasse Büdelsdorf -alt-,Büdelsdorf,NOLADE21BDF
21452030,Sparkasse Hohenwestedt,Hohenwestedt,NOLADE21HWS
21463603,Volksbank-Raiffeisenbank im Kreis Rendsburg,Rendsburg,GENODEF1NTO
21464671,Raiffeisenbank,Todenbüttel,GENODEF1TOB
21480003,Commerzbank vormals Dresdner Bank,Rendsburg,DRESDEFF214
21510600,Sydbank Filiale Flensburg,Flensburg,SYBKDE22XXX
21520100,Union-Bank Flensburg,Flensburg,UNBNDE21XXX
21540060,Commerzbank,Flensburg,COBADEFFXXX
21565316,Raiffeisenbank,Handewitt,GENODEF1HDW
21567360,Raiffeisenbank Kleinjörl -alt-,Jörl,GENODEF1KJO
21570011,Deutsche Bank,Flensburg,DEUTDEHH215
21570024,Deutsche Bank Privat und Geschäftskunden,Flensburg,DEUTDEDB215
21580000,Commerzbank vormals Dresdner Bank,Flensburg,DRESDEFF215
21661719,VR Bank Flensburg-Schleswig,Schleswig,GENODEF1RSL
21690020,Schleswiger Volksbank, Volksbank Raiffeisenbank,Schleswig,GENODEF1SLW
21740043,Commerzbank,Husum,COBADEFFXXX
21741674,Commerzbank,Niebüll,COBADEFFXXX
21741825,Commerzbank,Sylt,COBADEFFXXX
21750000,Nord-Ostsee Sparkasse,Schleswig,NOLADE21NOS
21751230,Spar- und Leihkasse zu Bredstedt -alt-,Bredstedt,NOLADE21BRD
21762550,Husumer Volksbank,Husum,GENODEF1HUM
21763542,VR Bank,Niebüll,GENODEF1BDS
21770011,Deutsche Bank,Husum,DEUTDEHH217
