"11/308","Vodafone Kabel Deutschland GmbH"
"11/331","Primacom Berlin GmbH"
"11/358","EMOTEC NETWORKS GmbH"
"11/369","Unitymedia BW GmbH"
"11/390","Internet & Go GmbH"
"11/391","comjoo business solutions GmbH"
"11/392","OpenXS GmbH"
"11/400","QUiX Breitband GmbH"
"11/411","Gemeindewerke Hohenwestedt GmbH"
"12/017","1&1 Telecom GmbH"
"12/019","Milde Software Solutions (MSS)"
"12/037","Hofnetz und IT Services GmbH"
"12/038","WEBDISCOUNT GmbH & Co. KG"
"12/043","KNH - TV Limited"
"12/048","KomMITT-Ratingen GmbH"
"12/054","net services GmbH & Co KG"
"12/060","Stadtwerke Engen GmbH"
"12/063","TELEflash GmbH"
"12/067","Lightup Network Solutions GmbH & Co. KG"
"12/068","MVD Multimedia Verbundnetz Dresden GmbH"
"12/073","KABEL-TV-BINZ GmbH & Co.KG"
"12/074","Stadtwerke Ahrensburg GmbH"
"12/086","WIFISAX UG"
"12/094","Sat Internet Services GmbH"
"12/098","KOMNEXX GmbH"
"12/119","Web + Phone GmbH"
"12/125","media construct gmbH"
"12/129","WIFISAX UG"
"12/133","EWR Netz GmbH"
"12/140","C&S Breitband GmbH"
"12/149","Buchholz Digital GmbH"
"12/169","NetTask GmbH"
"12/183","TEFIS-Technique & Financial Service Ltd.& Co.KG Zweigstelle Frankfurt"
"12/184","mWerk GmbH"
"12/195","oscon itk GmbH"
"12/198","VoiceON Telecom Services GmbH"
"12/199","Umbra Networks Gesellschaft für Telekommunikation"
"12/209","Stadtwerke Bochum GmbH"
"12/219","Stadtwerke Geesthacht GmbH"
"12/223","SWW Wunsiedel GmbH"
"12/239","teutel GmbH"
"12/242","amisol GmbH"
"12/264","ITS AG"
"12/345","Bundesnetzagentur"
"13/002","siebnich.com - it.competence!"
"13/018","TEFONIX UG"
"13/037","gustav internet GmbH & Co. KG"
"13/049","Glöckle direct GmbH"
"13/051","simple Communication GmbH"
"13/057","primastrom GmbH"
"13/065","hugo internet GmbH & Co. KG"
"13/069","Stadtwerke Finsterwalde GmbH"
"13/084","Dennis Spiegel, Spiegel-Bild"
"13/095","Deutsche Glasfaser Wholesale GmbH"
"13/122","Disquom Funktechnik GmbH"
"13/132","Rhönnet GmbH"
"13/145","echtschnell GmbH"
"13/146","In(n) Energie GmbH"
"13/152","pepcom GmbH"
"13/158","ansit-com GmbH"
"13/186","werknetz internet GmbH & Co. KG"
"13/189","TeGe Deutschland GmbH"
"13/190","wirsNET Kabeldienstleistungen UG (haftungsbeschränkt)"
"13/201","NEW Niederrhein Energie und Wasser GmbH"
"13/206","NTTCable Service KG"
"13/211","Luxembourg Online SA"
"13/216","Deutsche Gesellschaft für Kommunikation und Service mbH"
"13/222","media.tel Informationsdienstleistungs GmbH"
"13/225","Fl!nk GmbH"
"14/017","Speedloc Datacenter"
"14/035","Vodafone GmbH"
"14/035","Arcor"
"14/036","Orbitcom GmbH"
"14/074","Antennengemeinschaft ERZNET AG"
"14/086","Jonny Rönnefahrt Chono Gruppe Deutschland"
"14/104","Osburg Systems GmbH"
"14/106","Olfenkom GmbH"
"14/118","SEDHO GmbH"
"14/119","voxenergie GmbH"
"14/129","telenetwork AG"
"14/133","Telekabel Riesa GmbH"
"14/134","dd Handelsgesellschaft mbH"
"14/140","YplaY Germany GmbH"
"14/157","dtms GmbH"
"14/160","OR Network GmbH"
"14/162","GVG Glasfaser GmbH"
"14/167","Peoplefone GmbH"
"14/169","Deutsche Glasfaser Business GmbH"
"14/175","MCN Telekommunikacios Szolgaltato Korlatolt Felelösegü Tarsasag"
"14/178","Servario Networks GmbH"
"14/179","NetCom Access Gesellschaft für Telekommunikation"
"14/184","G B C Kommunikationssysteme GmbH"
"14/185","Eckhard Möbius, Möbius Kommunikation Elektronik"
"14/189","DS Computer Service"
"14/191","Breitbandversorgung Rhein-Neckar GmbH"
"14/206","MIXvoip SA"
"14/208","Mango Office GmbH"
"14/210","Friedrich Kecht und Gerhard Guggenbichler GbR, RuhNet"
"14/216","EnoCom GmbH"
"14/221","Olaf Stenzel, PyloNet"
"14/252","foncloud GmbH & Co. KG"
"14/267","Carsten Dickenscheid IT-Service"
"14/273","Stadtwerke SchwerinGmbH (SWS)"
"14/278","Rekers Digitaltechnik GmbH & Co. KG"
"15/004","MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH"
"15/006","fonial GmbH"
"15/009","Stadtwerke Dorfen GmbH"
"15/030","E.Net GmbH & Co KG"
"15/043","Stadtwerke Eutin GmbH"
"15/044","Stadtwerke Merseburg GmbH"
"15/045","Flow7 GmbH"
"15/048","T-Mobile HotSpot GmbH"
"15/053","telegra GmbH"
"15/057","Deutsche Glasfaser Home GmbH"
"15/070","AnschlussWerk GmbH"
"15/071","iks informations- und kommunikations Systeme GmbH"
"15/072","GETEC media GmbH"
"15/075","Schleswiger Stadtwerke GmbH"
"15/078","Radio Bachmann GmbH"
"15/083","CompuNet Systems GmbH"
"15/084","Dolphin IT-Systeme e.K."
"15/086","ZEAG Energie AG"
"15/091","Unify Deutschland GmbH & Co. KG"
"15/102","weissblau-breitband UG (haftungsbeschänkt)"
"15/104","Elektro - Garten"
"15/105","Stadtwerke Schneverdingen-Neuenkirchen GmbH"
"15/110","TRILUCom Holding S.A."
"15/113","Stephan Konheiser EDV-Studio"
"15/119","Getinternet GmbH"
"15/124","itelco-consult GmbH"
"15/126","FNOH-DSL Südheide GmbH"
"15/143","Axxess Solutions GmbH"
"15/145","Cloud Communication Service GmbH"
"15/147","My-Cloudline Deutschland GmbH"
"15/148","getSolve IT GmbH"
"15/158","Schiffel IT-Service GmbH"
"15/165","Breitbandversorgung Münsterland GmbH"
"15/179","StarCom-Bauer GmbH"
"15/190","NX4 Networks GmbH"
"15/196","Stadtwerke Kaltenkirchen GmbH"
"15/199","Freikom GmbH"
"15/203","zollernalb-data GmbH"
"15/209","gnTel GmbH"
"15/214","Vater Service4Net GmbH"
"15/233","Stadtwerke Neustrelitz GmbH"
"15/239","SOLIDAS Media GmbH"
"16/005","Stadtwerke Annaberg-Buchholz Energie AG"
"16/008","Jens Dreiheller / Lodaya Technologies {Einzelunternehmen ohne HR-Eintrag)"
"16/013","WINatNet Provider und Netze GmbH"
"16/019","Stadtwerke Bad Reichenhall KU"
"16/024","telkodata GmbH"
"16/037","SUPERTEL A/S"
"16/054","Business Phone Net GmbH & Co. KG"
"16/087","NGN Telecom GmbH"
"16/096","Stadtwerke - Strom Plauen GmbH & Co. KG"
"16/110","ProCRM IT-Systems GmbH"
"16/114","Glasfaser Hengersberg GmbH"
"16/117","COMULUS AG"
"16/128","Gemeindewerke Nümbrecht GmbH"
"16/140","MoellerEDV - Klaus A. Möller"
"16/145","GateStream"
"16/152","eins energie in sachsen GmbH & Co. KG"
"16/157","Georg Kröber Webservice"
"16/172","countrycode 49 UG"
"16/189","SVO Vertrieb GmbH"
"16/192","Ziegelmeier GmbH & Co. Antennenservice KG"
"16/219","ngena GmbH"
"16/230","Tele Columbus AG"
"16/231","NetCom Access Gesellschaft für Telekommunikation"
"16/233","KAEMI GmbH"
"16/237","euromicron Deutschland GmbH"
"16/244","Muth Citynetz Halle GmbH"
"16/246","Breitbandversorgung Ostwestfalen GmbH"
"16/256","Via-Vox GmbH"
"16/270","Stadtwerke Teterow GmbH"
"16/271","QuaeroSys UG (haftungsbeschränkt)"
"16/279","Stadtwerke Erkrath GmbH"
"16/287","DNCC GmbH"
"17/002","Stadtwerke Forchheim GmbH"
"17/004","Unify Software and Solutions GmbH & Co. KG"
"17/005","Unify Communications and Collaboration GmbH & Co. KG"
"17/047","WEMAG AG"
"17/058","oneCentral B.V."
"17/060","CNS Network GmbH"
"17/073","kamikom GmbH"
"17/076","MiSaxNet GmbH"
"17/094","Stadtwerke Velbert GmbH"
"17/106","Stadtwerke Hilden GmbH"
"17/113","Gesellschaft für Digitale Werte mbH"
"17/115","Breitbandversorgung Deutschland GmbH"
"17/118","DMRZ Deutsches Mittelstandsrechenzentrum Betreibergesellschaft mbH"
"17/119","Rapidata GmbH"
"17/126","Landwerke M-V Breitband GmbH"
"17/130","inovisio communications GmbH"
"17/135","Stadtwerke Nortorf Breitband GmbH"
"17/142","ingenia digitale Netze GmbH"
"17/145","Surf-Paradies Internet Service GmbH"
"17/161","ETN EmslandTel.Net GmbH & Co. KG"
"17/164","Q-MEX Networks"
"17/168","Nord-IT Bremen Beteiligungs-UG(haftungsbeschränkt)&CO.KG"
"17/170","Barbara Ilchmann-Breu COMPRO Computerprogramme - COMPRO-TEL-NET"
"17/183","Hightel GmbH"
"17/186","globalcarrier telecom GmbH"
"17/191","Office-ED Computer GmbH"
"17/192","PROsave GmbH"
"17/208","Francotyp-Postalia Vertrieb und Service GmbH"
"17/210","Kumeno GmbH"
"17/216","Stadtwerke Oldenburg in Holstein Media GmbH"
"17/222","Tell-Phone Deutschland GmbH"
"17/228","telba AG"
"17/229","Telion Kommunikationsgesellschaft UG (haftungsbeschränkt)"
"17/230","Fa. Schoefisch"
"17/238","SPIEKEROOGkom // Wolf Lindenthal"
"17/244","SQUILD GmbH"
"17/258","Twilio Inc."
"17/260","D.T.NET Service OHG"
"17/261","DCC Duisburg CityCom GmbH"
"18/001","1N Telecom GmbH"
"18/010","MIXvoip GmbH"
"18/023","Emden Digital GmbH"
"18/027","Stadtwerke Pasewalk GmbH"
"18/044","Netsign Networks GmbH"
"18/046","Stadtwerke Meerane GmbH"
"18/054","Anycall GmbH"
"18/064","cratchmere.com gmbh"
"18/068","Stadtwerke Rostock AG"
"18/076","Stadtwerke Ludwigsburg-Kornwestheim GmbH"
"18/096","maxIT Consulting GmbH"
"18/102","Stadtwerke Bühl GmbH"
"18/136","Herbst Datentechnik GmbH"
"18/149","Harmatec GmbH"
"18/156","nvb Nordhorner Versorgungsbetriebe GmbH"
"18/159","autphone GmbH"
"18/164","EuraLink"
"18/192","SWaP GmbH Surf, Watch & Phone"
"19/054","Inkotec GbR"
"19/096","GREENFIBER Internet & Dienste GmbH"
"93/007","Telekom Deutschland GmbH"
"93/090","KEVAG Telekom GmbH"
"94/309","bn:t Blatzheim Networks Telecom GmbH"
"95/032","NetCologne Gesellschaft für Telekommunikation mbH"
"95/095","Telefónica Germany GmbH & Co. OHG"
"95/095","Alice, Hansenet, O2, O2 Genion"
"95/137","1&1 Versatel Deutschland GmbH"
"96/058","Communication Services Tele2 GmbH"
"96/084","sdt.net AG"
"96/151","Genias Internet (Inh. Stefan Englhardt)"
"96/161","TELCAT MULTICOM GmbH"
"96/194","Tele Columbus Sachsen-Anhalt GmbH"
"96/205","WOBCOM GmbH"
"96/211","NETHINKS GmbH"
"96/224","EFN eifel-net Internet-Provider GmbH"
"97/018","Tele Columbus Kabel Service GmbH"
"97/031","Teleco GmbH Cottbus Telekommunikation"
"97/033","Antennen Schulze GmbH"
"97/084","GELSEN-NET Kommunikationsgesellschaft mbH"
"97/119","SWN Stadtwerke Neumünster GmbH"
"97/163","M-net Telekommunikations GmbH"
"97/165","mobilcom-debitel GmbH"
"97/165","Talkline, Cellway"
"97/170","LüneCom Kommunikationslösungen GmbH"
"97/174","E-Plus Service GmbH & Co. KG"
"97/186","electronic anders"
"97/238","imos Gesellschaft für Internet-Marketing und Online-Services mbH"
"97/244","DOKOM Gesellschaft für Telekommunikation mbH"
"97/245","EWE TEL GmbH (Marke swb)"
"97/245","Osnatel GmbH"
"97/246","ENTEGA Medianet GmbH"
"98/016","e.discom Telekommunikations GmbH"
"98/023","RFT kabel Brandenburg GmbH"
"98/030","TeleData GmbH"
"98/037","MEGA Communications GmbH"
"98/047","Median Telecom GmbH"
"98/048","R-KOM Regensburger Telekommunikationsgesellschaft mbH & Co. KG"
"98/067","VSE NET GmbH"
"98/068","plusnet GmbH - Ein Unternehmen der QSC AG"
"98/068","Broadnet AG"
"98/084","MDCC Magdeburg-City-Com GmbH"
"98/085","Netcom Kassel Gesellschaft für Telekommunikation mbH"
"98/090","Pfalzkom Gesellschaft für Telekommunikation mbH"
"98/094","komro GmbH"
"98/105","Daten- und Telekommunikations GmbH Dessau"
"98/112","envia TEL GmbH"
"98/112X","envia TEL (interne Portierung)"
"98/122","Telenec Telekommunikation Neustadt GmbH"
"98/139","TMR Telekommunikation Mittleres Ruhrgebiet GmbH"
"98/141","operator Telekommunikation International AG"
"98/149","Tele Columbus Cottbus GmbH"
"98/150","REKA Regionalservice Kabelfernsehen GmbH"
"99/001","WiTCOM Wiesbadener Informations-und Telekommunikations GmbHGmbH"
"99/002","neu-medianet GmbH"
"99/017","BITel Gesellschaft für Telekommunikation mbH"
"99/021","htp GmbH"
"99/028","Neckarcom"
"99/029","TKS Telepost Kabel-Service Kaiserslautern GmbH & Co. KG"
"99/038","LEW TelNet GmbH"
"99/069","Mandala Internet, EDV-Servis GmbH"
"99/083","planet 33 AG telecommunications internet security"
"99/121","telego! GmbH"
"99/136","ecotel communication ag"
"99/138","Telekommunikation Lindau GmbH"
"99/147","TraveKom Telekommunikationsgesellschaft mbH"
"99/149","Christian Wiesner, VIDEOPRO"
"99/164","Stadtnetz Bamberg Gesellschaft für Telekommunikation mbH"
"99/174","Herzo Media GmbH & Co. KG"
"99/180","K-net Telekommunikation GmbH"
"n.v.","EKP nicht vorhanden"
"xx/001","Gesmo Gesellschaft für Mobilfunkservice"
"xx/003","Kabel BW"
"xx/004","Tele Columbus AG"
"xx/005","EWE TEL GmbH (Marke osnatel)"
"xx/005","Osnatel GmbH"
"xx/006","EWE TEL GmbH"
"xx/006","Osnatel GmbH"
"xx/008","placetel"
"xx/009","Sat Internet Services GmbH"
"xx/011","aetkaSMART"
"xx/011","Telefonica Germany GmbH"
"xx/012","Outland-net GmbH"
"xx/013","manCityNet"
"xx/014","primacall GmbH"
"xx/015","RIKOM GmbH"
"xx/016","Pri-Tel GmbH"
"xx/017","BREKO Bundesverband Breitbandkommunikation e.V."
"xx/018","NES Elektro & Service GmbH"
"xx/019","NetCom BW GmbH"
"xx/020","Northern Access GmbH"
