"D380","Rack, Michael Reiner -RSM Freilassing-"
"D381","COMBILE GmbH Mobile System Builders"
"D382","Westend Management GmbH"
"D383","01072 GmbH"
"D384","01072 GmbH"
"D385","01073 GmbH"
"D386","eSTART Telecom GmbH"
"D387","eSTART Telecom GmbH"
"D388","01049 GmbH"
"D389","MyShop Services GmbH"
"D390","01085 GmbH"
"D391","01059 GmbH"
"D392","01066 GmbH"
"D393","MyShop Services GmbH"
"D394","Tulp Solutions B.V."
"D395","meetyoo conferencing GmbH"
"D396","VoiceON Telecom Services GmbH"
"D397","Tele Columbus AG"
"D399","SCHÖNENBERG-COMPUTER GmbH"
"D400","GöTel GmbH"
"D401","D & T Internet GmbH"
"D402","RelAix Networks GmbH"
"D403","Belgacom International Carrier Services SA"
"D404","tenios GmbH"
"D405","Via-Vox GmbH"
"D406","Portunity GmbH"
"D407","dtms GmbH"
"D408","Data Networks Communication and Consulting GmbH"
"D409","Drillisch Online AG"
"D410","mobilcom-debitel GmbH"
"D411","QuestNet GmbH"
"D412","telkodata GmbH"
"D413","Nord-IT Bremen UG (haftungsbeschränkt)"
"D414","walter cloud services GmbH"
"D415","QTELO GmbH"
"D416","QTELO GmbH"
"D417","1N Telecom GmbH"
"D418","Stadtwerke Bochum GmbH"
"D419","MiSaxNet GmbH"
"D420","Marco Bungalski GmbH"
"D421","Local Exchange Global Operation Services (LEGOS)"
"D422","NX4 Networks GmbH"
"D423","Deutsche Glasfaser Wholesale GmbH"
"D424","TRILUCOM Holding S.A."
"D425","Stahlberg, Alexander"
"D426","nfon AG"
"D427","GGEW net GmbH"
"D428","NU Informationssysteme GmbH"
"D429","WEMAG AG"
"D430","autphone GmbH"
"D431","AlphaCron Datensysteme, Inh. Marc Pauls"
"D432","Intersaar GmbH"
"D433","Brandl Services GmbH"
"D434","42com Telecommunication GmbH"
"D435","Stadtwerke Bühl GmbH"
"D436","DIABOLOCOM GmbH, c/o Pramex International GmbH"
"D437","Weissblau-breitband UG (haftungsbeschränkt)"
"D438","NL Bandwidth B.V."
"D439","Macrogate IP Systems GmbH"
"D440","New Fiber Networks GmbH"
"D441","Stiegeler Internet Service GmbH"
"D442","HDone GmbH"
"D443","init.voice GmbH"
"D444","VoiceON Telecom Services GmbH"
"D445","TeleData GmbH"
"D446","KEVAG Telekom GmbH"
"D447","PHILUNET GmbH"
"D449","42one GmbH"
"D450","Tecsee GmbH"
"D999","Bundesnetzagentur"
